,type
266,['song']
267,"['male', 'song']"
268,['song']
269,['song']
270,['song']
271,['song']
272,['song']
273,['song']
274,['song']
275,['song']
276,['song']
277,['song']
278,['song']
279,['song']
280,['song']
281,['song']
282,['song']
283,['song']
284,['song']
285,['song']
286,['song']
287,['song']
288,['call']
289,['call']
290,['song']
291,"['adult', 'song']"
292,"['adult', 'male', 'song']"
293,"['adult', 'male', 'song']"
294,"['adult', 'male', 'song']"
295,"['adult', 'male', 'sex uncertain', 'song']"
296,['song']
297,['song']
298,['uncertain']
299,"['call', 'male']"
300,"['adult', 'dawn song', 'sex uncertain', 'song']"
301,"['male', 'song']"
302,"['life stage uncertain', 'sex uncertain', 'song']"
303,"['adult', 'call', 'sex uncertain']"
304,"['adult', 'male', 'song']"
305,"['adult', 'male', 'song']"
306,['']
307,['']
308,['song']
309,['flight call']
310,['call']
311,['song']
312,['song']
313,['flight call']
314,['call']
315,['call']
316,['call']
317,['call']
318,['call']
319,['call']
320,['song']
321,['call']
322,['call']
323,['call']
324,"['call', 'duet']"
325,"['call', 'flight call']"
326,['song']
327,['song']
328,['flight call']
329,['call']
330,['song']
331,"['adult', 'call']"
332,"['adult', 'flight call']"
333,"['call', 'sex uncertain']"
334,['song']
335,['song']
336,['song']
337,['call']
338,['song']
339,['song']
340,['call']
341,['call']
342,['call']
343,['call']
344,['call']
345,['call']
346,['call']
347,['call']
348,['call']
349,['call']
350,['song']
351,"['adult', 'call']"
352,['call']
353,['call']
354,['']
355,['']
356,['song']
357,['call']
358,['call']
359,['call']
360,"['call,begging call,juvenile']"
361,"['adult', 'call', 'sex uncertain']"
362,"['call', 'juvenile', 'sex uncertain']"
363,"['adult', 'call', 'sex uncertain']"
364,['song']
365,['call']
366,['call']
367,['call']
368,['call']
369,['flight call']
370,"['call', 'male']"
371,['song']
372,['song']
373,['call']
374,['song']
375,['call']
376,['call']
377,['call']
378,['song']
379,['call']
380,['song']
381,['call']
382,['call']
383,['song']
384,['song']
385,['song']
386,['call']
387,['song']
388,['call']
389,['song']
390,['song']
391,"['call', 'song']"
392,['song']
393,['song']
394,['song']
395,['call']
396,['call']
397,['call']
398,['song']
399,['song']
400,['call']
401,"['call', 'song']"
402,['call']
403,"['call', 'flight call']"
404,['song']
405,['song']
406,['song']
407,['song']
408,"['adult', 'call']"
409,"['adult', 'call', 'sex uncertain']"
410,"['adult', 'call', 'sex uncertain']"
411,['call']
412,['song']
413,['flight call']
414,['flight call']
415,"['adult', 'sex uncertain', 'song']"
416,"['call', 'life stage uncertain', 'sex uncertain']"
417,"['call', 'life stage uncertain', 'sex uncertain']"
418,['song']
419,"['adult', 'call', 'sex uncertain']"
420,"['call', 'female', 'male', 'song']"
421,['call']
422,['call']
423,['call']
424,"['begging call', 'juvenile', 'sex uncertain']"
425,['call']
426,['']
427,['']
428,['']
429,['']
430,['']
431,['']
432,['']
433,['']
434,['']
435,['']
436,['call']
437,['call']
438,['song']
439,"['call', 'song']"
440,['song']
441,['song']
442,['song']
443,"['call', 'song']"
444,"['call', 'song']"
445,['song']
446,['song']
447,['song']
448,['song']
449,['flight call']
450,['song']
451,"['call', 'female', 'male']"
452,['call']
453,"['call', 'song']"
454,['song']
455,['song']
456,['song']
457,['song']
458,['call']
459,['call']
460,['song']
461,['song']
462,['song']
463,['song']
464,['song']
465,['song']
466,['song']
467,['song']
468,['call']
469,['call']
470,"['call', 'song']"
471,"['call', 'sex uncertain', 'song']"
472,['']
473,['call']
474,['flight call']
475,['call']
476,"['call', 'flight call']"
477,['song']
478,"['female', 'male', 'song']"
479,['call']
480,"['call', 'song']"
481,"['call', 'song']"
482,"['call', 'song']"
483,['call']
484,['call']
485,['song']
486,['song']
487,"['call', 'male']"
488,['song']
489,['alarm call']
490,['song']
491,"['call', 'song']"
492,['song']
493,['song']
494,"['call', 'song']"
495,['call']
496,['call']
497,"['male', 'song']"
498,['call']
499,['call']
500,"['call', 'song']"
501,['call']
502,['call']
503,['song']
504,['call']
505,['call']
506,['song']
507,['call']
508,['call']
509,['call']
510,"['call', 'juvenile']"
511,"['call', 'juvenile', 'song']"
512,"['call', 'song']"
513,"['call', 'male']"
514,"['call', 'male']"
515,['call']
516,['call']
517,"['call', 'female']"
518,"['call', 'song']"
519,"['call', 'male']"
520,['call']
521,['song']
522,['song']
523,"['male', 'song']"
524,['song']
525,['song']
526,['song']
527,"['begging call', 'juvenile']"
528,['song']
529,['call']
530,['song']
531,"['call', 'male']"
532,"['call', 'male', 'song']"
533,"['male', 'song']"
534,['call']
535,['begging call']
536,['call']
537,['call']
538,"['call', 'song']"
539,"['call', 'male']"
540,['call']
541,['call']
542,"['flight call', 'song']"
543,"['adult', 'female', 'male', 'song']"
544,"['adult', 'call', 'male']"
545,['call']
546,"['adult', 'call']"
547,"['adult', 'call', 'male', 'song']"
548,"['adult', 'sex uncertain', 'song']"
549,"['adult', 'call', 'female']"
550,"['adult', 'call', 'male', 'song']"
551,"['adult', 'call', 'male']"
552,"['Cock crowing', 'adult', 'male', 'song']"
553,"['call', 'life stage uncertain', 'sex uncertain']"
554,"['adult', 'male', 'song']"
555,"['adult', 'song']"
556,"['adult', 'call']"
557,"['adult', 'call', 'female', 'song']"
558,"['adult', 'female']"
559,"['call', 'male']"
560,"['adult', 'male', 'song']"
561,"['adult', 'female', 'male', 'song']"
562,"['adult', 'call', 'male']"
563,"['call', 'female', 'song']"
564,"['adult', 'female']"
565,"['call', 'sex uncertain', 'song']"
566,"['adult', 'call', 'song']"
567,"['call', 'female', 'male', 'song']"
568,"['adult', 'male']"
569,"['adult', 'alarm call', 'sex uncertain']"
570,['call']
571,"['Children playing', 'adult', 'call', 'male', 'sex uncertain']"
572,['']
573,['']
574,['']
575,['']
576,['']
577,['']
578,['song']
579,['song']
580,"['call', 'female', 'male']"
581,['call']
582,['song']
583,['song']
584,['song']
585,['song']
586,['song']
587,['song']
588,['call']
589,['call']
590,['call']
591,"['male', 'song']"
592,"['male', 'song']"
593,['song']
594,['song']
595,['song']
596,['song']
597,['flight call']
598,['song']
599,['call']
600,['call']
601,['song']
602,['song']
603,['call']
604,['song']
605,['song']
606,['song']
607,['call']
608,['song']
609,['call']
610,"['call', 'song']"
611,"['call', 'flight call']"
612,['song']
613,['flight call']
614,['song']
615,['call']
616,['song']
617,['song']
618,['call']
619,['song']
620,"['call', 'song']"
621,"['call', 'flight call', 'male', 'song']"
622,"['female', 'flight call', 'male']"
623,['song']
624,['song']
625,['call']
626,['song']
627,['song']
628,['call']
629,['flight call']
630,['call']
631,['call']
632,['call']
633,['song']
634,['song']
635,['song']
636,['song']
637,['song']
638,['song']
639,['call']
640,['call']
641,"['call', 'sex uncertain']"
642,"['adult', 'song']"
643,"['adult', 'call', 'song']"
644,"['adult', 'call']"
645,"['adult', 'call', 'sex uncertain']"
646,"['life stage uncertain', 'sex uncertain', 'song']"
647,"['life stage uncertain', 'sex uncertain', 'song']"
648,['song']
649,['call']
650,['call']
651,['song']
652,"['call', 'engine noise', 'song', 'voices']"
653,['call']
654,"['adult', 'call']"
655,"['adult', 'call', 'sex uncertain']"
656,['uncertain']
657,['']
658,['']
659,['call']
660,['call']
661,['call']
662,['call']
663,['flight call']
664,['flight call']
665,"['call', 'juvenile']"
666,['call']
667,['flight call']
668,['call']
669,['flight call']
670,['flight call']
671,['call']
672,['call']
673,['call']
674,['call']
675,['call']
676,['call']
677,"['display call', 'song']"
678,"['display call', 'song']"
679,['call']
680,['call']
681,['call']
682,['call']
683,['call']
684,['call']
685,['call']
686,['call']
687,['call']
688,['call']
689,['call']
690,['call']
691,['call']
692,['call']
693,['song']
694,['call']
695,['call']
696,"['adult', 'call', 'sex uncertain']"
697,['song']
698,['call']
699,['call']
700,['call']
701,['call']
702,['call']
703,['call']
704,['call']
705,['call']
706,['flight call']
707,"['adult', 'flight call', 'male']"
708,"['adult', 'flight call', 'male']"
709,"['adult', 'flight call', 'male']"
710,"['call', 'life stage uncertain', 'sex uncertain']"
711,['']
712,['']
713,['']
714,['']
715,['']
716,['song']
717,['song']
718,['song']
719,"['call', 'song']"
720,"['call', 'song']"
721,['song']
722,['song']
723,['song']
724,['call']
725,['song']
726,['call']
727,['call']
728,['song']
729,['call']
730,"['adult', 'male', 'song']"
731,"['adult', 'male', 'song']"
732,"['adult', 'male', 'song']"
733,['song']
734,"['adult', 'call', 'male', 'song']"
735,"['adult', 'male', 'song']"
736,"['call', 'life stage uncertain', 'sex uncertain']"
737,['song']
738,['song']
739,"['adult', 'sex uncertain', 'song']"
740,['']
741,['flight call']
742,"['alarm call', 'juvenile', 'male']"
743,['flight call']
744,['flight call']
745,"['call', 'male']"
746,['flight call']
747,['call']
748,['call']
749,['call']
750,['call']
751,['call']
752,['call']
753,['call']
754,['call']
755,['call']
756,['call']
757,['call']
758,['call']
759,['call']
760,['call']
761,['call']
762,['call']
763,"['adult', 'call', 'sex uncertain']"
764,"['adult', 'call', 'sex uncertain']"
765,"['adult', 'call', 'sex uncertain']"
766,['call']
767,['uncertain']
768,"['adult', 'call', 'sex uncertain']"
769,"['adult', 'call']"
770,['uncertain']
771,['song']
772,['song']
773,['song']
774,['song']
775,['song']
776,['alarm call']
777,['alarm call']
778,['song']
779,['song']
780,['song']
781,['alarm call']
782,['alarm call']
783,['song']
784,['alarm call']
785,['song']
786,"['cars', 'song']"
787,['song']
788,['call']
789,['song']
790,['song']
791,['song']
792,['song']
793,"['alarm call', 'call']"
794,"['call', 'song']"
795,['call']
796,['song']
797,['song']
798,['song']
799,['song']
800,['song']
801,['alarm call']
802,['song']
803,['song']
804,['song']
805,"['adult', 'male', 'song']"
806,"['adult', 'sex uncertain', 'song']"
807,"['adult', 'sex uncertain', 'song']"
808,"['adult', 'sex uncertain', 'song']"
809,"['adult', 'male', 'song']"
810,"['adult', 'call', 'sex uncertain']"
811,['uncertain']
812,['uncertain']
813,['uncertain']
814,['']
815,['']
816,['begging call']
817,['song']
818,"['call', 'female', 'male']"
819,"['call', 'female', 'male']"
820,['song']
821,['call']
822,['song']
823,"['call', 'song']"
824,"['call', 'song']"
825,"['call', 'male']"
826,['call']
827,['call']
828,['call']
829,['call']
830,['alarm call']
831,['call']
832,['song']
833,['call']
834,['song']
835,['call']
836,"['call', 'female', 'flight call']"
837,"['call', 'male']"
838,['call']
839,['song']
840,['song']
841,['feeding call']
842,"['adult', 'call', 'male']"
843,"['adult', 'call', 'male']"
844,"['adult', 'call', 'male']"
845,"['adult', 'courtiship call', 'male']"
846,"['adult', 'call', 'male']"
847,['song']
848,"['alarm call', 'juvenile', 'male']"
849,"['adult', 'call']"
850,"['adult', 'call', 'male']"
851,"['adult', 'call', 'male']"
852,"['adult', 'male', 'song']"
853,"['Dogs barking', 'uncertain']"
854,"['Caged Ring-necked parakeet', 'adult', 'call', 'children playing', 'male']"
855,['song']
856,['song']
857,['']
858,['']
859,['call']
860,['song']
861,"['call', 'juvenile']"
862,['flight call']
863,['flight call']
864,['flight call']
865,['call']
866,"['call', 'flight call']"
867,"['call', 'sex uncertain']"
868,"['adult', 'call', 'sex uncertain']"
869,"['adult', 'call', 'sex uncertain']"
870,['']
871,"['call', 'song']"
872,['song']
873,"['call', 'song']"
874,['call']
875,['song']
876,"['call', 'song']"
877,"['male', 'song']"
878,"['call', 'male']"
879,"['call', 'song']"
880,"['call', 'male']"
881,['call']
882,['call']
883,['call']
884,['call']
885,['call']
886,['call']
887,['flight call']
888,['call']
889,['song']
890,['song']
891,['song']
892,"['adult', 'call', 'female', 'male']"
893,['']
894,['']
895,"['call', 'flight call']"
896,['song']
897,['song']
898,"['call', 'female', 'male', 'song']"
899,['song']
900,['song']
901,"['call', 'song']"
902,['flight call']
903,"['call', 'song']"
904,['song']
905,['alarm call']
906,"['begging call', 'call', 'song']"
907,"['call', 'juvenile']"
908,['flight call']
909,['call']
910,['alarm call']
911,['Begging calls']
912,['song']
913,['flight call']
914,"['flight call', 'male']"
915,"['call', 'male', 'song']"
916,"['flight call', 'male', 'song']"
917,['flight call']
918,['song']
919,"['male', 'song']"
920,['song']
921,"['call', 'male']"
922,['flight call']
923,"['call', 'female', 'male']"
924,"['call', 'flight call']"
925,['call']
926,"['call', 'flight call', 'song']"
927,"['call', 'song']"
928,['flight call']
929,['song in flight']
930,['song']
931,['song']
932,"['alarm call', 'flight call']"
933,['flight call']
934,['call']
935,"['juvenile', 'song']"
936,['song']
937,"['call', 'juvenile']"
938,"['call', 'juvenile']"
939,"['call', 'flight call']"
940,['flight call']
941,['flight call']
942,"['alarm call', 'begging call', 'call', 'juvenile']"
943,['flight call']
944,['song']
945,['song']
946,['flight call']
947,['song']
948,"['call', 'song']"
949,['flight call']
950,['call']
951,['alarm call']
952,"['alarm call', 'call', 'male']"
953,"['call', 'juvenile', 'voice of fledglings']"
954,['song']
955,['song']
956,['alarm call']
957,"['begging call', 'feeding sounds']"
958,"['call,flight call,begging call']"
959,"['call', 'song']"
960,"['begging call', 'juvenile']"
961,"['call', 'flight call', 'highway']"
962,['flight call']
963,"['call', 'juvenile']"
964,"['male', 'song']"
965,"['alarm call', 'flight call']"
966,"['alarm call', 'flight call']"
967,"['male', 'song']"
968,['call']
969,"['begging call', 'call']"
970,['song']
971,"['alarm call', 'flight call']"
972,"['Begging calls from 3 nestlings in nest.', 'begging call', 'call']"
973,['flight call']
974,['flight call']
975,['flight call']
976,"['call', 'flight call']"
977,"['call', 'song']"
978,"['flight call', 'song']"
979,['song']
980,['call']
981,['call']
982,['alarm call']
983,['song']
984,['call']
985,['flight call']
986,"['flight call', 'song']"
987,['song']
988,['flight call']
989,"['call', 'song']"
990,"['call', 'song']"
991,"['male', 'song']"
992,"['male', 'song']"
993,['song']
994,['call']
995,['song']
996,['call']
997,['flight call']
998,['call']
999,['flight call']
1000,['flight call']
1001,['song']
1002,['song']
1003,['call']
1004,['song']
1005,['call']
1006,['song']
1007,['song']
1008,['song']
1009,['call']
1010,['song']
1011,['flight call']
1012,['call']
1013,['song']
1014,['alarm call']
1015,"['call', 'flight call']"
1016,['call']
1017,['call']
1018,"['call', 'song']"
1019,"['call', 'female', 'flight call', 'male', 'song']"
1020,"['call', 'female', 'flight call', 'male', 'song']"
1021,"['call', 'female', 'flight call', 'male', 'song']"
1022,"['call', 'female', 'flight call', 'male', 'song']"
1023,"['call', 'female', 'flight call', 'male', 'song']"
1024,"['call', 'female', 'flight call', 'male', 'song']"
1025,"['call', 'female', 'flight call', 'male', 'song']"
1026,"['call', 'female', 'flight call', 'male', 'song']"
1027,"['call', 'female', 'flight call', 'male', 'song']"
1028,"['call', 'female', 'flight call', 'male', 'song']"
1029,"['call', 'female', 'flight call', 'male', 'song']"
1030,"['call', 'female', 'flight call', 'male', 'song']"
1031,"['call', 'female', 'flight call', 'male', 'song']"
1032,"['call', 'female', 'flight call', 'male', 'song']"
1033,"['call', 'female', 'flight call', 'male', 'song']"
1034,"['call', 'female', 'flight call', 'male', 'song']"
1035,"['call', 'female', 'flight call', 'male', 'song']"
1036,"['call', 'female', 'flight call', 'male', 'song']"
1037,"['call', 'female', 'flight call', 'male', 'song']"
1038,"['call', 'female', 'flight call', 'male', 'song']"
1039,"['call', 'female', 'flight call', 'male', 'song']"
1040,"['call', 'female', 'flight call', 'male', 'song']"
1041,"['call', 'female', 'flight call', 'male', 'song']"
1042,"['call', 'female', 'flight call', 'male', 'song']"
1043,"['call', 'female', 'flight call', 'male', 'song']"
1044,"['call', 'female', 'flight call', 'male', 'song']"
1045,"['call', 'female', 'flight call', 'male', 'song']"
1046,"['call', 'female', 'flight call', 'male', 'song']"
1047,"['call', 'female', 'flight call', 'male', 'song']"
1048,"['call', 'female', 'flight call', 'male', 'song']"
1049,"['call', 'male']"
1050,['song']
1051,['flight call']
1052,['song']
1053,['flight call']
1054,['song']
1055,['song']
1056,['song']
1057,['song']
1058,['song']
1059,['call']
1060,['call']
1061,['alarm call']
1062,['song']
1063,['song']
1064,['song']
1065,['flight call']
1066,['flight call']
1067,"['flight call', 'song']"
1068,"['call', 'flight call', 'juvenile']"
1069,"['begging call', 'call', 'juvenile', 'wing beat']"
1070,['song']
1071,"['flight call', 'song']"
1072,['call']
1073,"['begging call', 'juvenile']"
1074,['flight call']
1075,['flight call']
1076,['song']
1077,['song']
1078,"['male', 'song']"
1079,['flight call']
1080,"['call', 'flight call']"
1081,['song']
1082,"['call', 'song']"
1083,['song']
1084,['song']
1085,"['call', 'song']"
1086,['song']
1087,['call']
1088,"['begging call', 'call', 'song']"
1089,['song']
1090,['song']
1091,"['call', 'song']"
1092,['call']
1093,['call']
1094,['Adults feeding babies']
1095,"['alarm call', 'begging call', 'call']"
1096,['call']
1097,['flight call']
1098,['song']
1099,['song']
1100,['call']
1101,['call']
1102,['song']
1103,['song']
1104,['call']
1105,['song']
1106,['song']
1107,['song']
1108,['call']
1109,['song']
1110,['song']
1111,['call']
1112,['call']
1113,['song']
1114,['song']
1115,['call']
1116,['call']
1117,['call']
1118,['song']
1119,['song']
1120,['song']
1121,['song']
1122,['song']
1123,"['male', 'song']"
1124,['flight call']
1125,['call']
1126,['call']
1127,['flight call']
1128,['flight call']
1129,['song']
1130,['call']
1131,['song']
1132,['call']
1133,"['call', 'flight call']"
1134,['song']
1135,['flight call']
1136,"['flight call', 'nocturnal flight call']"
1137,['flight call']
1138,['song']
1139,"['call', 'flight call']"
1140,['alarm call']
1141,['flight call']
1142,['flight call']
1143,['song']
1144,"['male', 'song']"
1145,"['flight call', 'song']"
1146,['flight call']
1147,['flight call']
1148,['flight call']
1149,['song']
1150,['song']
1151,"['""tilit"" call', 'flight call']"
1152,['song']
1153,"['begging call', 'call', 'juvenile']"
1154,['flight call']
1155,"['flight call', 'nocturnal  flight call']"
1156,['call']
1157,"['alarm call', 'call', 'flight call']"
1158,['call']
1159,"['flight call', 'juvenile']"
1160,['juvenile']
1161,['flight call']
1162,['call']
1163,"['call', 'flight call', 'song']"
1164,['flight call']
1165,"['adult', 'call']"
1166,"['adult', 'anxiety call', 'call']"
1167,"['adult', 'song']"
1168,['song']
1169,['call']
1170,['flight call']
1171,['nocturnal flight call']
1172,['call']
1173,"['flight call', 'song']"
1174,['flight call']
1175,['song']
1176,['call']
1177,['flight call']
1178,['call']
1179,"['adult', 'call', 'chamado de contato do bando', 'sex uncertain']"
1180,['flight call']
1181,['call']
1182,['flight call']
1183,['flight call']
1184,['flight call']
1185,['alarm call']
1186,"['adult', 'male', 'song']"
1187,"['adult', 'flight call']"
1188,['song']
1189,['song']
1190,['call']
1191,"['call', 'song']"
1192,"['flight call', 'song']"
1193,['call']
1194,['call']
1195,['alarm call']
1196,['song']
1197,['flight call']
1198,"['call', 'juvenile']"
1199,"['adult', 'call', 'juvenile', 'sex uncertain']"
1200,['flight call']
1201,['song']
1202,"['call', 'life stage uncertain', 'sex uncertain']"
1203,"['call', 'song', 'various calls']"
1204,"['call', 'song', 'various calls']"
1205,"['adult', 'call', 'human voices', 'sex uncertain']"
1206,['flight call']
1207,['Song']
1208,['call']
1209,"['adult', 'call', 'flight call']"
1210,['alarm call']
1211,['flight call']
1212,"['adult', 'song']"
1213,"['call', 'juvenile', 'sex uncertain']"
1214,['flight call']
1215,['uncertain']
1216,['song']
1217,"['call', 'life stage uncertain', 'sex uncertain']"
1218,['song']
1219,"['call', 'song']"
1220,"['flight call', 'song']"
1221,['flight call']
1222,"['adult', 'call', 'life stage uncertain', 'sex uncertain']"
1223,"['flight call', 'song']"
1224,"['call', 'life stage uncertain', 'sex uncertain']"
1225,"['call', 'life stage uncertain', 'sex uncertain']"
1226,"['adult', 'begging call', 'call', 'juvenile', 'sex uncertain']"
1227,"['adult', 'call', 'juvenile', 'sex uncertain']"
1228,"['flight call', 'nocturnal flight call']"
1229,['flight call']
1230,"['adult', 'male', 'song']"
1231,"['adult', 'male', 'song']"
1232,"['call', 'life stage uncertain', 'sex uncertain', 'song']"
1233,"['call', 'life stage uncertain', 'sex uncertain']"
1234,"['adult', 'call', 'sex uncertain']"
1235,['call']
1236,"['adult', 'alarm call', 'call', 'flight call', 'male']"
1237,['flight call']
1238,['flight call']
1239,"['adult', 'song']"
1240,"['call', 'life stage uncertain', 'sex uncertain']"
1241,"['call', 'life stage uncertain', 'sex uncertain']"
1242,['song']
1243,['call']
1244,"['flight call', 'life stage uncertain', 'sex uncertain']"
1245,['flight call']
1246,['flight call']
1247,"['adult', 'call', 'female', 'flight call', 'male', 'song']"
1248,"['male', 'song']"
1249,"['call', 'male', 'song']"
1250,"['male', 'song']"
1251,"['male', 'song']"
1252,['nocturnal flight call']
1253,['song']
1254,"['adult', 'alarm call']"
1255,"['adult', 'call', 'song']"
1256,"['flight call', 'song']"
1257,['flight call']
1258,"['call', 'sex uncertain', 'song']"
1259,['song']
1260,['call']
1261,['song']
1262,"['call', 'song']"
1263,['song']
1264,['song']
1265,"['male', 'song']"
1266,"['male', 'subsong']"
1267,['nocturnal flight call']
1268,"['adult', 'call', 'duet', 'female', 'male']"
1269,"['call', 'flight call']"
1270,['song']
1271,"['adult', 'call']"
1272,"['call', 'life stage uncertain', 'sex uncertain']"
1273,['flight call']
1274,['song']
1275,"['adult', 'call', 'male', 'song', 'subsong']"
1276,"['male', 'song']"
1277,"['male', 'song']"
1278,['nocturnal flight call']
1279,['flight call']
1280,['song']
1281,"['adult', 'male', 'song']"
1282,['flight call']
1283,"['begging call', 'female', 'juvenile']"
1284,"['call', 'flight call']"
1285,['flight call']
1286,"['adult', 'flight call']"
1287,['flight call']
1288,"['adult', 'dawn song', 'sex uncertain']"
1289,"['adult', 'song']"
1290,"['adult', 'song']"
1291,"['adult', 'flight call', 'juvenile']"
1292,"['call', 'song']"
1293,"['adult', 'song']"
1294,"['adult', 'call', 'juvenile', 'song']"
1295,['flight call']
1296,"['alarm call', 'call', 'song']"
1297,"['adult', 'female', 'flight call', 'male']"
1298,['flight call']
1299,"['flight call', 'song']"
1300,"['call', 'flight call']"
1301,"['call', 'flight call']"
1302,"['alarm call', 'call', 'flight call']"
1303,"['call', 'flight call']"
1304,"['call', 'flight call']"
1305,['song']
1306,"['call', 'flight call', 'life stage uncertain', 'sex uncertain']"
1307,"['alarm call', 'flight call']"
1308,"['call', 'song']"
1309,"['alarm call', 'flight call']"
1310,['flight call']
1311,['flight call']
1312,"['group song', 'song']"
1313,"['adult', 'alarm call', 'female', 'flight call', 'juvenile', 'male', 'sex uncertain', 'song']"
1314,"['adult', 'alarm call', 'female', 'flight call', 'juvenile', 'male', 'sex uncertain']"
1315,['call']
1316,['call']
1317,['call']
1318,['call']
1319,"['alarm call', 'call', 'flight call', 'life stage uncertain', 'sex uncertain']"
1320,"['call', 'flight call']"
1321,"['life stage uncertain', 'nocturnal flight call', 'sex uncertain']"
1322,['call']
1323,"['call', 'flight call']"
1324,['flight call']
1325,"['flight call', 'wing sound']"
1326,"['adult', 'call', 'juvenile', 'sex uncertain', 'song']"
1327,"['adult', 'call', 'juvenile', 'sex uncertain', 'song']"
1328,"['flight call', 'life stage uncertain', 'sex uncertain']"
1329,"['adult', 'male', 'song']"
1330,"['call', 'flight call']"
1331,"['adult', 'dawn song', 'male']"
1332,"['flight call', 'various calls']"
1333,"['group song', 'song']"
1334,['flight call']
1335,"['adult', 'sex uncertain', 'song']"
